country,life_expect_1955,life_expect_1960,life_expect_1965,life_expect_1970,life_expect_1975,life_expect_1980,life_expect_1985,life_expect_1990,life_expect_1995,life_expect_2000,life_expect_2005,pop_1955,pop_1960,pop_1965,pop_1970,pop_1975,pop_1980,pop_1985,pop_1990,pop_1995,pop_2000,pop_2005
Hong Kong,64.75,67.65,70.0,72.0,73.6,75.45,76.2,77.601,80.0,81.495,82.208,2490400,3075300,3597900,3959000,4395800,5063100,5456200,5687959,6225347,6658720,6898686
Iceland,73.47,73.68,73.73,74.46,76.11,76.99,77.23,78.77,78.95,80.5,81.757,158044,175860,192288,204104,218031,228161,241403,254719,267527,281043,296737
India,40.249,43.605,47.193,50.651,54.208,56.596,58.553,60.223,61.765,62.879,64.698,393000000,434000000,485000000,541000000,607000000,679000000,755000000,839000000,927000000,1007702000,1080264388
Indonesia,39.918,42.518,45.964,49.203,52.702,56.159,60.137,62.681,66.041,68.588,70.65,86807000,95254000,105093000,116044000,130297000,146995000,163403000,178500000,194755000,206265000,218465000
Iran,47.181,49.325,52.469,55.234,57.702,59.62,63.04,65.742,68.042,69.451,70.964,18729000,21577000,25000000,28933000,33379000,39583397,48439952,57035717,61628116,65660289,68017860
Iraq,48.437,51.457,54.459,56.95,60.413,62.038,65.044,59.461,58.811,57.046,59.545,5903253,6822030,7970746,9413671,11117804,13232839,15693620,18134702,19557247,22675617,26074906
Ireland,68.9,70.29,71.08,71.28,72.03,73.1,74.36,75.467,76.122,77.783,78.885,2916133,2832000,2876000,2950100,3177300,3401000,3540000,3508200,3613890,3791690,4015676
Israel,67.84,69.39,70.75,71.63,73.06,74.45,75.6,76.93,78.269,79.696,80.745,1772032,2141495,2578184,2903434,3354242,3737473,4074965,4512068,5305120,5842454,6276883
Italy,67.81,69.24,71.06,72.19,73.48,74.98,76.42,77.44,78.82,80.24,80.546,48633000,50197600,51987100,53661100,55571894,56451247,56731215,56742886,57274531,57719337,58103033
Jamaica,62.61,65.61,67.51,69.0,70.11,71.21,71.77,71.766,72.262,72.047,72.567,1488805,1631784,1777397,1943787,2104879,2228803,2318652,2347922,2469389,2615467,2735520
Japan,65.5,68.73,71.43,73.42,75.38,77.11,78.67,79.36,80.69,82.0,82.603,89815060,94091638,98882534,104344973,111573116,116807309,120754335,123537399,125341354,126699784,127417244
Kenya,44.686,47.949,50.654,53.559,56.155,58.766,59.339,59.285,54.407,50.992,54.11,7033999,8156827,9549179,11247182,13433414,16331401,19763285,23358413,27060142,29985839,33829590
Lebanon,59.489,62.094,63.87,65.421,66.099,66.983,67.926,69.292,70.265,71.028,71.993,1560985,1786235,2057945,2383029,3098159,3085876,3088235,3147267,3334733,3578036,3826018
Mexico,55.19,58.299,60.11,62.361,65.032,67.405,69.498,71.455,73.67,74.902,76.195,32929914,38578505,45142399,52775158,60678045,68347479,76767225,84913652,92880353,99926620,106202903
Netherlands,72.99,73.23,73.82,73.75,75.24,76.05,76.83,77.42,78.03,78.53,79.762,10750842,11486000,12292000,13032335,13653438,14143901,14491380,14951510,15459054,15907853,16407491
New Zealand,70.26,71.24,71.52,71.89,72.22,73.84,74.32,76.33,77.55,79.11,80.204,2136168,2371746,2640400,2828050,3117800,3170150,3298050,3359604,3565990,3819762,4035461
Nigeria,37.802,39.36,41.04,42.821,44.514,45.826,46.886,47.472,47.464,46.608,46.859,35458978,39914593,45020052,51027516,58522112,68550274,77573154,88510354,100960105,114306700,128765768
North Korea,52.681,55.292,57.716,62.612,64.766,67.123,69.81,72.244,74.647,77.045,78.623,21551834,24784140,28705000,32241000,35281000,38124000,40806000,42869000,45264146,47351083,48640671
Norway,73.44,73.47,74.08,74.34,75.37,75.97,75.89,77.32,78.32,79.05,80.196,3427409,3581239,3723153,3877386,4007313,4085620,4152419,4242006,4359101,4492400,4593041
Pakistan,45.557,47.67,49.8,51.929,54.043,56.158,58.245,60.838,61.818,63.61,65.483,44434445,50386898,57494940,65705964,74711541,85219117,99060352,114578478,128690285,146342958,162419946
Peru,46.263,49.096,51.445,55.448,58.447,61.406,64.134,66.458,68.386,69.906,71.421,8671500,9931000,11467300,13192800,15161199,17295298,19348926,21511443,23846388,25979722,27925628
Philippines,51.334,54.757,56.393,58.065,60.06,62.082,64.151,66.458,68.564,70.303,71.688,24553055,28528939,33267569,38603696,44336842,50940182,57288037,64318120,71717437,79739825,87857473
Poland,65.77,67.64,69.61,70.85,70.67,71.32,70.98,70.99,72.75,74.67,75.563,27220668,29589842,31262358,32526000,33969240,35578016,37225792,38119408,38600642,38654164,38557984
Portugal,61.51,64.39,66.6,69.26,70.41,72.77,74.06,74.86,75.97,77.29,78.098,8692600,9036700,9128850,9044200,9411090,9777800,9897192,9922689,10065543,10335597,10566212
Rwanda,41.5,43.0,44.1,44.6,45.0,46.218,44.02,23.599,36.087,43.413,46.242,2698272,3031804,3264640,3769171,4356863,5138689,6009833,6923738,5706501,7507056,8440820
Saudi Arabia,42.868,45.914,49.901,53.886,58.69,63.012,66.295,68.768,70.533,71.626,72.777,4243218,4718301,5327432,6109051,7204820,9999161,13330067,16060761,19966998,23153090,26417599
South Africa,47.985,49.951,51.927,53.696,55.527,58.161,60.834,61.888,60.236,53.365,49.339,15368551,17416653,19898242,22739921,25815144,29251588,34254092,38391094,41779149,44066197,44344136
South Korea,54.081,56.656,59.942,63.983,67.159,69.1,70.647,69.978,67.727,66.662,67.297,8839427,10391909,11868751,13911902,15801308,17113626,18481420,20018546,21561856,21647682,22912177
Spain,66.66,69.69,71.44,73.06,74.39,76.3,76.9,77.57,78.77,79.78,80.941,29318745,30641187,32084511,33876479,35563535,37488360,38534853,39350769,39749715,40016081,40341462
Switzerland,70.56,71.32,72.77,73.78,75.39,76.21,77.41,78.03,79.37,80.62,81.701,4980000,5362000,5943000,6267000,6403500,6385229,6563770,6836626,7157106,7266920,7489370
Turkey,48.079,52.098,54.336,57.005,59.507,61.036,63.108,66.146,68.835,70.845,71.777,24144571,28217122,31950718,35758382,40529798,45120802,50669003,56084632,61188984,65666677,69660559
United Kingdom,70.42,70.76,71.36,72.01,72.76,74.04,75.007,76.42,77.218,78.471,79.425,50946000,52372000,54350000,55632000,56215000,56314000,56620240,57493307,58426014,59522468,60441457
United States,69.49,70.21,70.76,71.34,73.38,74.65,75.02,76.09,76.81,77.31,78.242,165931000,180671000,194303000,205052000,215973000,227726463,238466283,250131894,266557091,282338631,295734134
Venezuela,57.907,60.77,63.479,65.712,67.456,68.557,70.19,71.15,72.146,72.766,73.747,6170497,7556483,9067735,10758017,12674987,14767890,16997509,19325222,21555902,23542649,25375281
