year,country,measure,measurement
1985,India,pop,755000000.0
1990,India,pop,839000000.0
1995,India,pop,927000000.0
2000,India,pop,1007702000.0
2005,India,pop,1080264388.0
1955,Indonesia,pop,86807000.0
1960,Indonesia,pop,95254000.0
1965,Indonesia,pop,105093000.0
1970,Indonesia,pop,116044000.0
1975,Indonesia,pop,130297000.0
1980,Indonesia,pop,146995000.0
1985,Indonesia,pop,163403000.0
1990,Indonesia,pop,178500000.0
1995,Indonesia,pop,194755000.0
2000,Indonesia,pop,206265000.0
2005,Indonesia,pop,218465000.0
1955,Iran,pop,18729000.0
1960,Iran,pop,21577000.0
1965,Iran,pop,25000000.0
1970,Iran,pop,28933000.0
1975,Iran,pop,33379000.0
1980,Iran,pop,39583397.0
1985,Iran,pop,48439952.0
1990,Iran,pop,57035717.0
1995,Iran,pop,61628116.0
2000,Iran,pop,65660289.0
2005,Iran,pop,68017860.0
1955,Iraq,pop,5903253.0
1960,Iraq,pop,6822030.0
1965,Iraq,pop,7970746.0
1970,Iraq,pop,9413671.0
1975,Iraq,pop,11117804.0
1980,Iraq,pop,13232839.0
1985,Iraq,pop,15693620.0
1990,Iraq,pop,18134702.0
1995,Iraq,pop,19557247.0
2000,Iraq,pop,22675617.0
2005,Iraq,pop,26074906.0
1955,Ireland,pop,2916133.0
1960,Ireland,pop,2832000.0
1965,Ireland,pop,2876000.0
1970,Ireland,pop,2950100.0
1975,Ireland,pop,3177300.0
1980,Ireland,pop,3401000.0
1985,Ireland,pop,3540000.0
1990,Ireland,pop,3508200.0
1995,Ireland,pop,3613890.0
2000,Ireland,pop,3791690.0
2005,Ireland,pop,4015676.0
1955,Israel,pop,1772032.0
1960,Israel,pop,2141495.0
1965,Israel,pop,2578184.0
1970,Israel,pop,2903434.0
1975,Israel,pop,3354242.0
1980,Israel,pop,3737473.0
1985,Israel,pop,4074965.0
1990,Israel,pop,4512068.0
1995,Israel,pop,5305120.0
2000,Israel,pop,5842454.0
2005,Israel,pop,6276883.0
1955,Italy,pop,48633000.0
1960,Italy,pop,50197600.0
1965,Italy,pop,51987100.0
1970,Italy,pop,53661100.0
1975,Italy,pop,55571894.0
1980,Italy,pop,56451247.0
1985,Italy,pop,56731215.0
1990,Italy,pop,56742886.0
1995,Italy,pop,57274531.0
2000,Italy,pop,57719337.0
2005,Italy,pop,58103033.0
1955,Jamaica,pop,1488805.0
1960,Jamaica,pop,1631784.0
1965,Jamaica,pop,1777397.0
1970,Jamaica,pop,1943787.0
1975,Jamaica,pop,2104879.0
1980,Jamaica,pop,2228803.0
1985,Jamaica,pop,2318652.0
1990,Jamaica,pop,2347922.0
1995,Jamaica,pop,2469389.0
2000,Jamaica,pop,2615467.0
2005,Jamaica,pop,2735520.0
1955,Japan,pop,89815060.0
1960,Japan,pop,94091638.0
1965,Japan,pop,98882534.0
1970,Japan,pop,104344973.0
1975,Japan,pop,111573116.0
1980,Japan,pop,116807309.0
1985,Japan,pop,120754335.0
1990,Japan,pop,123537399.0
1995,Japan,pop,125341354.0
2000,Japan,pop,126699784.0
2005,Japan,pop,127417244.0
1955,Kenya,pop,7033999.0
1960,Kenya,pop,8156827.0
1965,Kenya,pop,9549179.0
1970,Kenya,pop,11247182.0
1975,Kenya,pop,13433414.0
1980,Kenya,pop,16331401.0
1985,Kenya,pop,19763285.0
1990,Kenya,pop,23358413.0
1995,Kenya,pop,27060142.0
2000,Kenya,pop,29985839.0
2005,Kenya,pop,33829590.0
1955,South Korea,pop,8839427.0
1960,South Korea,pop,10391909.0
1965,South Korea,pop,11868751.0
1970,South Korea,pop,13911902.0
1975,South Korea,pop,15801308.0
1980,South Korea,pop,17113626.0
1985,South Korea,pop,18481420.0
1990,South Korea,pop,20018546.0
1995,South Korea,pop,21561856.0
2000,South Korea,pop,21647682.0
2005,South Korea,pop,22912177.0
1955,North Korea,pop,21551834.0
1960,North Korea,pop,24784140.0
1965,North Korea,pop,28705000.0
1970,North Korea,pop,32241000.0
1975,North Korea,pop,35281000.0
1980,North Korea,pop,38124000.0
1985,North Korea,pop,40806000.0
1990,North Korea,pop,42869000.0
1995,North Korea,pop,45264146.0
2000,North Korea,pop,47351083.0
2005,North Korea,pop,48640671.0
1955,Lebanon,pop,1560985.0
1960,Lebanon,pop,1786235.0
1965,Lebanon,pop,2057945.0
1970,Lebanon,pop,2383029.0
1975,Lebanon,pop,3098159.0
1980,Lebanon,pop,3085876.0
1985,Lebanon,pop,3088235.0
1990,Lebanon,pop,3147267.0
1995,Lebanon,pop,3334733.0
2000,Lebanon,pop,3578036.0
2005,Lebanon,pop,3826018.0
1955,Mexico,pop,32929914.0
1960,Mexico,pop,38578505.0
1965,Mexico,pop,45142399.0
1970,Mexico,pop,52775158.0
1975,Mexico,pop,60678045.0
1980,Mexico,pop,68347479.0
1985,Mexico,pop,76767225.0
1990,Mexico,pop,84913652.0
1995,Mexico,pop,92880353.0
2000,Mexico,pop,99926620.0
2005,Mexico,pop,106202903.0
1955,Netherlands,pop,10750842.0
1960,Netherlands,pop,11486000.0
1965,Netherlands,pop,12292000.0
1970,Netherlands,pop,13032335.0
1975,Netherlands,pop,13653438.0
1980,Netherlands,pop,14143901.0
1985,Netherlands,pop,14491380.0
1990,Netherlands,pop,14951510.0
1995,Netherlands,pop,15459054.0
2000,Netherlands,pop,15907853.0
2005,Netherlands,pop,16407491.0
1955,New Zealand,pop,2136168.0
1960,New Zealand,pop,2371746.0
1965,New Zealand,pop,2640400.0
1970,New Zealand,pop,2828050.0
1975,New Zealand,pop,3117800.0
1980,New Zealand,pop,3170150.0
1985,New Zealand,pop,3298050.0
1990,New Zealand,pop,3359604.0
1995,New Zealand,pop,3565990.0
2000,New Zealand,pop,3819762.0
2005,New Zealand,pop,4035461.0
1955,Nigeria,pop,35458978.0
1960,Nigeria,pop,39914593.0
1965,Nigeria,pop,45020052.0
1970,Nigeria,pop,51027516.0
1975,Nigeria,pop,58522112.0
1980,Nigeria,pop,68550274.0
1985,Nigeria,pop,77573154.0
1990,Nigeria,pop,88510354.0
1995,Nigeria,pop,100960105.0
2000,Nigeria,pop,114306700.0
2005,Nigeria,pop,128765768.0
1955,Norway,pop,3427409.0
1960,Norway,pop,3581239.0
1965,Norway,pop,3723153.0
1970,Norway,pop,3877386.0
1975,Norway,pop,4007313.0
1980,Norway,pop,4085620.0
1985,Norway,pop,4152419.0
1990,Norway,pop,4242006.0
1995,Norway,pop,4359101.0
2000,Norway,pop,4492400.0
2005,Norway,pop,4593041.0
1955,Pakistan,pop,44434445.0
1960,Pakistan,pop,50386898.0
1965,Pakistan,pop,57494940.0
1970,Pakistan,pop,65705964.0
1975,Pakistan,pop,74711541.0
1980,Pakistan,pop,85219117.0
1985,Pakistan,pop,99060352.0
1990,Pakistan,pop,114578478.0
1995,Pakistan,pop,128690285.0
2000,Pakistan,pop,146342958.0
2005,Pakistan,pop,162419946.0
1955,Peru,pop,8671500.0
1960,Peru,pop,9931000.0
1965,Peru,pop,11467300.0
1970,Peru,pop,13192800.0
1975,Peru,pop,15161199.0
1980,Peru,pop,17295298.0
1985,Peru,pop,19348926.0
1990,Peru,pop,21511443.0
1995,Peru,pop,23846388.0
2000,Peru,pop,25979722.0
2005,Peru,pop,27925628.0
1955,Philippines,pop,24553055.0
1960,Philippines,pop,28528939.0
1965,Philippines,pop,33267569.0
1970,Philippines,pop,38603696.0
1975,Philippines,pop,44336842.0
1980,Philippines,pop,50940182.0
1985,Philippines,pop,57288037.0
1990,Philippines,pop,64318120.0
1995,Philippines,pop,71717437.0
2000,Philippines,pop,79739825.0
2005,Philippines,pop,87857473.0
1955,Poland,pop,27220668.0
1960,Poland,pop,29589842.0
1965,Poland,pop,31262358.0
1970,Poland,pop,32526000.0
1975,Poland,pop,33969240.0
1980,Poland,pop,35578016.0
1985,Poland,pop,37225792.0
1990,Poland,pop,38119408.0
1995,Poland,pop,38600642.0
2000,Poland,pop,38654164.0
2005,Poland,pop,38557984.0
1955,Portugal,pop,8692600.0
1960,Portugal,pop,9036700.0
1965,Portugal,pop,9128850.0
1970,Portugal,pop,9044200.0
1975,Portugal,pop,9411090.0
1980,Portugal,pop,9777800.0
1985,Portugal,pop,9897192.0
1990,Portugal,pop,9922689.0
1995,Portugal,pop,10065543.0
2000,Portugal,pop,10335597.0
2005,Portugal,pop,10566212.0
1955,Rwanda,pop,2698272.0
1960,Rwanda,pop,3031804.0
1965,Rwanda,pop,3264640.0
1970,Rwanda,pop,3769171.0
1975,Rwanda,pop,4356863.0
1980,Rwanda,pop,5138689.0
1985,Rwanda,pop,6009833.0
1990,Rwanda,pop,6923738.0
1995,Rwanda,pop,5706501.0
2000,Rwanda,pop,7507056.0
2005,Rwanda,pop,8440820.0
1955,Saudi Arabia,pop,4243218.0
1960,Saudi Arabia,pop,4718301.0
1965,Saudi Arabia,pop,5327432.0
1970,Saudi Arabia,pop,6109051.0
1975,Saudi Arabia,pop,7204820.0
1980,Saudi Arabia,pop,9999161.0
1985,Saudi Arabia,pop,13330067.0
1990,Saudi Arabia,pop,16060761.0
1995,Saudi Arabia,pop,19966998.0
2000,Saudi Arabia,pop,23153090.0
2005,Saudi Arabia,pop,26417599.0
1955,South Africa,pop,15368551.0
1960,South Africa,pop,17416653.0
1965,South Africa,pop,19898242.0
1970,South Africa,pop,22739921.0
1975,South Africa,pop,25815144.0
1980,South Africa,pop,29251588.0
1985,South Africa,pop,34254092.0
1990,South Africa,pop,38391094.0
1995,South Africa,pop,41779149.0
2000,South Africa,pop,44066197.0
2005,South Africa,pop,44344136.0
1955,Spain,pop,29318745.0
1960,Spain,pop,30641187.0
1965,Spain,pop,32084511.0
1970,Spain,pop,33876479.0
1975,Spain,pop,35563535.0
1980,Spain,pop,37488360.0
1985,Spain,pop,38534853.0
1990,Spain,pop,39350769.0
1995,Spain,pop,39749715.0
2000,Spain,pop,40016081.0
2005,Spain,pop,40341462.0
1955,Switzerland,pop,4980000.0
1960,Switzerland,pop,5362000.0
1965,Switzerland,pop,5943000.0
1970,Switzerland,pop,6267000.0
1975,Switzerland,pop,6403500.0
1980,Switzerland,pop,6385229.0
1985,Switzerland,pop,6563770.0
1990,Switzerland,pop,6836626.0
1995,Switzerland,pop,7157106.0
2000,Switzerland,pop,7266920.0
2005,Switzerland,pop,7489370.0
1955,Turkey,pop,24144571.0
1960,Turkey,pop,28217122.0
1965,Turkey,pop,31950718.0
1970,Turkey,pop,35758382.0
1975,Turkey,pop,40529798.0
1980,Turkey,pop,45120802.0
1985,Turkey,pop,50669003.0
1990,Turkey,pop,56084632.0
1995,Turkey,pop,61188984.0
2000,Turkey,pop,65666677.0
2005,Turkey,pop,69660559.0
1955,United Kingdom,pop,50946000.0
1960,United Kingdom,pop,52372000.0
1965,United Kingdom,pop,54350000.0
1970,United Kingdom,pop,55632000.0
1975,United Kingdom,pop,56215000.0
1980,United Kingdom,pop,56314000.0
1985,United Kingdom,pop,56620240.0
1990,United Kingdom,pop,57493307.0
1995,United Kingdom,pop,58426014.0
2000,United Kingdom,pop,59522468.0
2005,United Kingdom,pop,60441457.0
1955,United States,pop,165931000.0
1960,United States,pop,180671000.0
1965,United States,pop,194303000.0
1970,United States,pop,205052000.0
1975,United States,pop,215973000.0
1980,United States,pop,227726463.0
1985,United States,pop,238466283.0
1990,United States,pop,250131894.0
1995,United States,pop,266557091.0
2000,United States,pop,282338631.0
2005,United States,pop,295734134.0
1955,Venezuela,pop,6170497.0
1960,Venezuela,pop,7556483.0
1965,Venezuela,pop,9067735.0
1970,Venezuela,pop,10758017.0
1975,Venezuela,pop,12674987.0
1980,Venezuela,pop,14767890.0
1985,Venezuela,pop,16997509.0
1990,Venezuela,pop,19325222.0
1995,Venezuela,pop,21555902.0
2000,Venezuela,pop,23542649.0
2005,Venezuela,pop,25375281.0
1955,Afghanistan,life_expect,30.332
1960,Afghanistan,life_expect,31.997
1965,Afghanistan,life_expect,34.02
1970,Afghanistan,life_expect,36.088
1975,Afghanistan,life_expect,38.438
1980,Afghanistan,life_expect,39.854
1985,Afghanistan,life_expect,40.822
1990,Afghanistan,life_expect,41.674
1995,Afghanistan,life_expect,41.763
2000,Afghanistan,life_expect,42.129
2005,Afghanistan,life_expect,43.828
1955,Argentina,life_expect,64.399
1960,Argentina,life_expect,65.142
1965,Argentina,life_expect,65.634
1970,Argentina,life_expect,67.065
1975,Argentina,life_expect,68.481
1980,Argentina,life_expect,69.942
1985,Argentina,life_expect,70.774
1990,Argentina,life_expect,71.868
1995,Argentina,life_expect,73.275
2000,Argentina,life_expect,74.34
2005,Argentina,life_expect,75.32
1955,Aruba,life_expect,64.381
1960,Aruba,life_expect,66.606
1965,Aruba,life_expect,68.336
1970,Aruba,life_expect,70.941
1975,Aruba,life_expect,71.83
1980,Aruba,life_expect,74.116
1985,Aruba,life_expect,74.494
1990,Aruba,life_expect,74.108
1995,Aruba,life_expect,73.011
2000,Aruba,life_expect,73.451
2005,Aruba,life_expect,74.239
1955,Australia,life_expect,70.33
1960,Australia,life_expect,70.93
1965,Australia,life_expect,71.1
1970,Australia,life_expect,71.93
1975,Australia,life_expect,73.49
1980,Australia,life_expect,74.74
1985,Australia,life_expect,76.32
1990,Australia,life_expect,77.56
1995,Australia,life_expect,78.83
2000,Australia,life_expect,80.37
2005,Australia,life_expect,81.235
1955,Austria,life_expect,67.48
1960,Austria,life_expect,69.54
1965,Austria,life_expect,70.14
1970,Austria,life_expect,70.63
1975,Austria,life_expect,72.17
1980,Austria,life_expect,73.18
1985,Austria,life_expect,74.94
1990,Austria,life_expect,76.04
1995,Austria,life_expect,77.51
2000,Austria,life_expect,78.98
2005,Austria,life_expect,79.829
1955,Bahamas,life_expect,62.405
1960,Bahamas,life_expect,64.209
1965,Bahamas,life_expect,65.795
1970,Bahamas,life_expect,66.515
1975,Bahamas,life_expect,67.199
1980,Bahamas,life_expect,67.874
1985,Bahamas,life_expect,69.524
1990,Bahamas,life_expect,69.171
1995,Bahamas,life_expect,68.472
2000,Bahamas,life_expect,71.068
2005,Bahamas,life_expect,73.495
1955,Bangladesh,life_expect,39.348
1960,Bangladesh,life_expect,41.216
1965,Bangladesh,life_expect,43.453
1970,Bangladesh,life_expect,45.252
1975,Bangladesh,life_expect,46.923
1980,Bangladesh,life_expect,50.009
1985,Bangladesh,life_expect,52.819
1990,Bangladesh,life_expect,56.018
1995,Bangladesh,life_expect,59.412
2000,Bangladesh,life_expect,62.013
2005,Bangladesh,life_expect,64.062
1955,Barbados,life_expect,62.57
1960,Barbados,life_expect,65.87
1965,Barbados,life_expect,67.62
1970,Barbados,life_expect,69.42
1975,Barbados,life_expect,71.27
1980,Barbados,life_expect,72.695
1985,Barbados,life_expect,74.027
1990,Barbados,life_expect,74.894
1995,Barbados,life_expect,74.912
2000,Barbados,life_expect,75.97
2005,Barbados,life_expect,77.296
1955,Belgium,life_expect,69.24
1960,Belgium,life_expect,70.25
1965,Belgium,life_expect,70.94
1970,Belgium,life_expect,71.44
1975,Belgium,life_expect,72.8
1980,Belgium,life_expect,73.93
1985,Belgium,life_expect,75.35
1990,Belgium,life_expect,76.46
1995,Belgium,life_expect,77.53
2000,Belgium,life_expect,78.32
2005,Belgium,life_expect,79.441
1955,Bolivia,life_expect,41.89
1960,Bolivia,life_expect,43.428
1965,Bolivia,life_expect,45.032
1970,Bolivia,life_expect,46.714
1975,Bolivia,life_expect,50.023
1980,Bolivia,life_expect,53.859
1985,Bolivia,life_expect,57.251
1990,Bolivia,life_expect,59.957
1995,Bolivia,life_expect,62.05
2000,Bolivia,life_expect,63.883
2005,Bolivia,life_expect,65.554
1955,Brazil,life_expect,53.285
1960,Brazil,life_expect,55.665
1965,Brazil,life_expect,57.632
1970,Brazil,life_expect,59.504
1975,Brazil,life_expect,61.489
1980,Brazil,life_expect,63.336
1985,Brazil,life_expect,65.205
1990,Brazil,life_expect,67.057
1995,Brazil,life_expect,69.388
2000,Brazil,life_expect,71.006
2005,Brazil,life_expect,72.39
1955,Canada,life_expect,69.96
1960,Canada,life_expect,71.3
1965,Canada,life_expect,72.13
1970,Canada,life_expect,72.88
1975,Canada,life_expect,74.21
